Year,Name,Offense_Coordinator_Defense_Coordinator,Minority,Team
2010,Gunther Cunningham,Defense,No,Lions
2010,Pete Carmichael,Offense,No,Saints
2010,Gregg Williams,Defense,No,Saints
2010,Mike Mularkey,Offense,No,Falcons
2010,Brian VanGorder,Defense,No,Falcons
2010,Greg Olson,Offense,No,Buccaneers
2010,Raheem Morris,Defense,Yes,Buccaneers
2010,Jeff Davidson,Offense,No,Panthers
2010,Ron Meeks,Defense,Yes,Panthers
2010,Jimmy Raye,Offense,Yes,49ers
2010,Greg Manusky,Defense,No,49ers
2010,Jeremy Bates,Offense,No,Seahawks
2010,Gus Bradley,Defense,No,Seahawks
2010,Pat Shurmur,Offense,No,Rams
2010,Ken Flajole,Defense,No,Rams
2010,Bill Davis,Defense,No,Cardinals
